"dsc","url","mag","lat","lng","distance"
"M 1.7 - 10km WNW of Bonny Doon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72365966",1.7,37.0921667,-122.2493333,48.543502305292854
"M 1.3 - 9km NW of Bonny Doon, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373191",1.34,37.0921667,-122.238,48.66529136167622
"M 1.5 - 7km ESE of Saint Helena, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370536",1.52,38.4901667,-122.3906667,48.77465296332658
"M 1.9 - 3km NE of Santa Rosa, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371616",1.93,38.4615,-122.685,49.00766773957026
"M 2.1 - 8km NNW of Kenwood, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378981",2.11,38.4871667,-122.5725,49.28355723464278
"M 2.5 - 13km ESE of Alum Rock, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72379986",2.48,37.3166667,-121.6851667,51.468925149440146
"M 2.0 - 2km E of Deer Park, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72379356",2.01,38.5311667,-122.4423333,51.600656169609906
"M 1.0 - 14km E of Seven Trees, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367156",1.03,37.2916667,-121.6731667,53.074552300943246
"M 1.0 - 15km E of Seven Trees, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367861",1.03,37.2876667,-121.6678333,53.47658046155567
"M 1.8 - 9km NNE of Day Valley, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366121",1.83,37.1096667,-121.8196667,56.884188549343214
"M 1.4 - 8km NNE of Day Valley, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367136",1.4,37.1086667,-121.8191667,56.95626778679459
"M 1.4 - 8km NNE of Day Valley, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367086",1.37,37.106,-121.8201667,57.07557135223135
"M 0.8 - 8km NNE of Day Valley, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72365976",0.78,37.1053333,-121.8156667,57.2557694458598
"M 1.1 - 8km NNE of Day Valley, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367491",1.14,37.1036667,-121.8183333,57.26509003690954
"M 1.7 - 12km ESE of Hidden Valley Lake, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366776",1.66,38.7445,-122.4346667,66.30419923695429
"M 1.5 - 7km N of Healdsburg, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368781",1.54,38.6761667,-122.8846667,66.63849776927188
"M 1.7 - 20km SW of Patterson, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370911",1.71,37.3668333,-121.319,66.74785937092224
"M 2.3 - 20km SW of Patterson, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371151",2.27,37.3641667,-121.3198333,66.78700585333118
"M 0.4 - 6km WSW of Middletown, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372911",0.44,38.738,-122.6896667,67.50096312774181
"M 1.0 - 7km ENE of San Martin, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72376886",0.95,37.1056667,-121.5276667,67.62710179328172
"M 0.5 - 6km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72369816",0.48,38.7386667,-122.701,67.6842680850535
"M 0.7 - 6km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377381",0.67,38.7443333,-122.6971667,68.0173238718978
"M 1.3 - 6km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374036",1.25,38.7438316,-122.7006683,68.02664446294754
"M 0.2 - 5km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366961",0.24,38.7413333,-122.719,68.09313134576908
"M 1.6 - 5km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371531",1.55,38.7470016,-122.7003326,68.23542570246188
"M 1.2 - 4km SSE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374221",1.22,38.7431679,-122.7273331,68.32614612201276
"M 0.4 - 5km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373061",0.36,38.7465,-122.7105,68.329252985696
"M 1.2 - 5km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374181",1.22,38.748333,-122.7016678,68.341680440429
"M 0.7 - 5km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368786",0.67,38.7476667,-122.7073333,68.36715672263165
"M 0.2 - 5km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371666",0.19,38.749,-122.7055,68.43364360545317
"M 1.5 - 5km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72374891",1.47,38.7491684,-122.7078323,68.47403283333541
"M 1.1 - 5km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373121",1.13,38.7509995,-122.703331,68.54114108889358
"M 0.6 - 4km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368516",0.58,38.7495,-122.712,68.54921893447003
"M 1.2 - 4km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375826",1.2,38.7508316,-122.7105026,68.61943405371146
"M 0.6 - 4km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371906",0.6,38.7496681,-122.7200012,68.6635515180136
"M 0.4 - 3km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368341",0.39,38.7525,-122.7253333,68.92328532193322
"M 1.3 - 2km NNE of Middletown, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375016",1.3,38.7723333,-122.6,68.94130513129606
"M 0.7 - 3km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368971",0.66,38.7523333,-122.7283333,68.95186846781911
"M 1.2 - 3km SSE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367586",1.17,38.7498322,-122.7408371,68.95559670423901
"M 1.2 - 4km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72376041",1.23,38.7545013,-122.7184982,68.968024158972
"M 0.4 - 3km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370766",0.38,38.7563333,-122.721,69.1227459703978
"M 1.1 - 4km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367731",1.1,38.7594986,-122.7136688,69.24080679036128
"M 1.6 - 4km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367081",1.64,38.7601662,-122.7143326,69.29424484571315
"M 0.7 - 3km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366781",0.73,38.758667,-122.7265015,69.35141113748493
"M 1.2 - 3km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368346",1.22,38.7588348,-122.7294998,69.40236370189022
"M 1.6 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377716",1.61,38.7576675,-122.7368317,69.42286900219966
"M 0.4 - 3km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367666",0.44,38.7594986,-122.7298355,69.4508307753489
"M 0.5 - 2km SSE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72381336",0.51,38.7583351,-122.7405014,69.51793903090709
"M 0.3 - 4km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377466",0.28,38.7656667,-122.7061667,69.56081374973591
"M 0.2 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375041",0.18,38.7606667,-122.7323333,69.56267786794587
"M 0.6 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372141",0.57,38.7599983,-122.7385025,69.60120297761816
"M 0.5 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373896",0.49,38.7599983,-122.7391663,69.6105235686679
"M 0.7 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372146",0.66,38.760334,-122.73983,69.64221357823705
"M 0.5 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373886",0.49,38.760334,-122.7406693,69.65339828749674
"M 0.6 - 4km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370786",0.61,38.768,-122.7033333,69.68322417885594
"M 0.6 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370056",0.57,38.7615013,-122.7386703,69.70372947916537
"M 0.8 - 5km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375761",0.8,38.7703323,-122.6930008,69.71677830663502
"M 1.2 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366226",1.23,38.7618332,-122.7389984,69.73044850684131
"M 0.5 - 4km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368431",0.51,38.7675018,-122.7103348,69.73604086147117
"M 0.5 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368006",0.52,38.7618332,-122.7405014,69.75095380715076
"M 1.4 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72369801",1.35,38.7628326,-122.7411652,69.82676128102204
"M 1.6 - 3km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72367836",1.57,38.7686653,-122.7131653,69.84913069954143
"M 1.6 - 3km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72381736",1.55,38.7685013,-122.7143326,69.85285893596134
"M 1.4 - 2km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371496",1.44,38.7636681,-122.7405014,69.87336423627077
"M 0.5 - 1km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371836",0.53,38.7635002,-122.7421646,69.88517031826711
"M 1.7 - 4km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375021",1.7,38.7711678,-122.7053299,69.92058856425616
"M 1.8 - 1km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371491",1.75,38.7639999,-122.7441635,69.9460648464588
"M 1.0 - 1km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371501",0.96,38.7644997,-122.7419968,69.9497930828787
"M 1.1 - 4km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72369451",1.06,38.7708321,-122.7103348,69.95911367392844
"M 1.9 - 3km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368246",1.94,38.7715,-122.7123333,70.02932879316988
"M 0.8 - 3km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72380556",0.78,38.7724991,-122.7148361,70.12750568556055
"M 1.3 - 6km WSW of Gilroy, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372376",1.32,36.9796667,-121.6358333,70.12874843103384
"M 1.0 - 3km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372731",1.02,38.7719994,-122.7178345,70.1318552947171
"M 1.0 - 5km NW of Middletown, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72380891",0.99,38.7830009,-122.6585007,70.19461394111872
"M 1.5 - 2km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72372686",1.45,38.7716675,-122.7246704,70.19709943206533
"M 0.5 - 1km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72368186",0.53,38.7700005,-122.7361679,70.23748865994756
"M 1.0 - 1km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366991",0.96,38.7703323,-122.7368317,70.26855729678005
"M 1.9 - 1km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72366996",1.88,38.7698326,-122.7399979,70.27849926056645
"M 0.3 - 1km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378611",0.25,38.77,-122.7423333,70.32137397939529
"M 1.4 - 3km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72365816",1.38,38.7768326,-122.713501,70.4015310624231
"M 1.2 - 2km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377361",1.2,38.7739983,-122.7288361,70.4077447897896
"M 0.2 - 2km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373511",0.22,38.7761667,-122.7226667,70.47298892713783
"M 1.9 - 8km E of Hidden Valley Lake, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72379486",1.94,38.8045,-122.4623333,70.47982402724098
"M 0.3 - 2km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72377536",0.32,38.7756667,-122.7266667,70.49100873650067
"M 1.9 - 3km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72365811",1.92,38.777832,-122.7160034,70.49970795481377
"M 1.4 - 3km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72365821",1.4,38.7786674,-122.7138367,70.52891247343632
"M 0.9 - 2km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72378966",0.94,38.7775002,-122.7246704,70.58794288341805
"M 1.1 - 1km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370821",1.12,38.7736664,-122.7440033,70.5885642561547
"M 0.4 - 3km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72373961",0.37,38.7783318,-122.7204971,70.59042837436465
"M 1.7 - 2km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371956",1.67,38.777668,-122.7278366,70.64013819329664
"M 1.4 - 2km E of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72370801",1.35,38.777832,-122.7275009,70.64697329339978
"M 1.6 - 0km ESE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371651",1.61,38.7745018,-122.7454987,70.66499310276262
"M 0.5 - 0km SSE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72371871",0.53,38.7731667,-122.7535019,70.68736252128203
"M 1.2 - 0km SE of The Geysers, California","http://earthquake.usgs.gov/earthquakes/eventpage/nc72375066",1.22,38.7739983,-122.7516632,70.7171884126412
