index,quote,name
361,There are more tears shed over answered prayers than over unanswered prayers.,Saint Theresa of Jesus
362,You almost never get the pleasure of seeing that you won the argument in real time. People just don't like to publicly change their minds. They change their minds in private.,Sam Harris
363,"What shapes our lives are the questions we ask, refuse to ask, or never think to ask. ",Sam Keen
364,"Somewhere on this globe, every ten seconds, there is a woman giving birth to a child. She must be found and stopped.",Sam Levenson
365,It's so simple to be wise. Just think of something stupid to say and then don't say it.,Sam Levenson
366,What is written without effort is in general read without pleasure.,Samuel Johnson
367,"Your manuscript is both good and original, but the part that is good is not original and the part that is original is not good.",Samuel Johnson
368,"If there are no stupid questions, then what kind of questions do stupid people ask? Do they get smart just in time to ask questions?",Scott Adams
369,"If you can eliminate all the other choices, the remaining choice, no matter how improbable, is the answer.",Sherlock Holmes
370,"In the beginner's mind there are many possibilities, but in the expert's there are few.",Shunryu Suzuki
371,"An honest politician is one who, when he is bought, will stay bought.",Simon Cameron
372,"An honest politician is one who, when he is bought, will stay bought.",Simon Cameron
373,"Not only is the universe stranger than we imagine, it is stranger than we can imagine.",Sir Arthur Eddington
374,I don't mind what language an opera is sung in so long as it is a language I don't understand.,Sir Edward Appleton
375,"By all means marry. If you get a good wife, you'll be happy. If you get a bad one, you'll become a philosopher... and that is a good thing for any man.",Socrates
376,The only true wisdom is in knowing you know nothing.,Socrates
377,The unexamined life is not worth living.,Socrates
378,"True wisdom comes to each of us when we realize how little we understand about life, ourselves, and the world around us.",Socrates
379,"To a brave man, good and bad luck are like his left and right hand. He uses both.",St Catherine of Siena
380,"When you're young, you look at television and think, There's a conspiracy. The networks have conspired to dumb us down. But when you get a little older, you realize that's not true. The networks are in business to give people exactly what they want. That's a far more depressing thought. Conspiracy is optimistic! You can shoot the bastards!",Steve Jobs
381,Failure to plan ahead on your part does not create an emergency on my part.,Steven Dutch
382,"With or without religion, you would have good people doing good things and evil people doing evil things. But for good people to do evil things, that takes religion.",Steven Weinberg
383,Millions long for immortality who do not know what to do with themselves on a rainy Sunday afternoon. ,Susan Erz 
384,"Fortune does not change men, it unmasks them.",Suzanne Necker
385,"When I hear somebody sigh, 'Life is hard,' I am always tempted to ask, 'Compared to what?'",Sydney J. Harris
386,"Have the courage to be ignorant of a great number of things, in order to avoid the calamity of being ignorant of everything.",Sydney Smith
387,"If I had to live my life again, I'd make the same mistakes, only sooner.",Tallulah Bankhead
388,We don't see the things the way they are. We see things the way WE are.,Talmund
389,"If I only had a little humility, I'd be perfect.",Ted Turner
390,There is nothing so easy but that it becomes difficult when you do it reluctantly.,Terence
391,Every great advance in natural knowledge has involved the absolute rejection of authority.,Thomas H. Huxley
392,Try to learn something about everything and everything about something.,Thomas H. Huxley
393,The way to succeed is to double your error rate.,Thomas J. Watson
394,In archaeology you uncover the unknown. In diplomacy you cover the known.,Thomas Pickering
395,"When a person can no longer laugh at himself, it is time for others to laugh at him.",Thomas Szasz
396,Invention is the mother of necessity.,Thorstein Veblen
397,I have such a high regard for the truth that I use it sparingly.,Timothy Connor
398,Women who seek to be equal with men lack ambition.,Timothy Leary
399,A cult is a religion with no political power.,Tom Wolfe
400,The best way to get a better answer is to start asking a better question.,Tony Robbins
401,The things you own end up owning you.,"Tyler Durden, in Fight Club"
402,The real hero is always a hero by mistake; he dreams of being an honest coward like everybody else.,Umberto Eco
403,"Nobody knows the age of the human race, but everybody agrees that it is old enough to know better.",Unknown Author
404,"Learn from the mistakes of others, because you can't live long enough to make them all yourself.",Unknown Author
405,"Opportunity may knock only once, but temptation leans on the doorbell.",Unknown Author
406," Quidquid latine dictum sit, altum sonatur.  (Whatever is said in Latin sounds profound.)",Unknown Author
407,"I wish I was as certain about anything, as he is about everything.",Unknown Author
408,Management works within the system. Leadership works on the system.,Unknown Author
409,"There are 10 types of people in the world: those who understand binary, and those who don't.",Unknown Author
410,"I would love to change the world, but they won't give me the source code.",Unknown Author
411,"If you don't know where you're going, you don't know when you're lost.",Unknown Author
412,Be kind to unkind people - they need it the most.,Unknown Author
413,It takes about ten years to get used to how old you are.,Unknown Author
414,To fight a bull when you are not scared is nothing. And to not fight a bull when you are scared is nothing. But to fight a bull when you are scared is something.,Unknown Author
415,"Some people have nothing very well organized. And some people have nothing, very well organized.",Unknown Author
416,What if this weren't a hypothetical question?,Unknown Author
417,The fact that no one understands you doesn't mean you're an artist.,Unknown Author
418,Tell a man there are 300 Billion stars in the universe and he'll believe you. Tell him a bench has wet paint on it and he'll have to touch to be sure.,Unknown Author
419,A wise man can see more from the bottom of a well than a fool can from a mountain top.,Unknown Author
420,Discipline is just choosing between what you want now and what you want most.,Unknown Author
421,When an ordinary man attains knowledge he is a sage; when a sage attains understanding he is an ordinary man.,Unknown author
422,Never try to please everyone. Your goal should be to become the hated enemy of certain kinds of people.,Unknown Author
423,"Everyone is entitled to be stupid, but some abuse the privilege.",Unknown Author
424,"The richest man is not he who has the most, but he who needs the least.",Unknown Author
425,"Work like you don't need money, love like you've never been hurt, and dance like no one's watching ",Unknown Author
426,"Experience is a hard teacher because she gives the test first, the lesson afterwards.",Vernon Sanders Law
427,Laughter is the shortest distance between two people.,Victor Borge
428,"I don't mind what Congress does, as long as they don't do it in the streets and frighten the horses.",Victor Hugo
429,"Try a thing you haven't done three times. Once, to get over the fear of doing it. Twice, to learn how to do it. And a third time, to figure out whether you like it or not. ",Virgil Garnett Thomson
430,"Among those whom I like or admire, I can find no common denominator, but among those whom I love, I can: all of them make me laugh.",W. H. Auden
431,The very best thing you can do for the whole world is to make the most of yourself.,Wallace Wattles
432,You've achieved success in your field when you don't know whether what you're doing is work or play.,Warren Beatty
433,It makes more sense to buy a wonderful business at a fair price than it does to buy a fair business at a wonderful price.,Warren Buffet
434,You miss 100 percent of the shots you never take.,Wayne Gretzky
435,Always and never are two words you should always remember never to use.,Wendell Johnson
436,Research is what I'm doing when I don't know what I'm doing.,Wernher von Braun
437,The truth is that there is nothing noble in being superior to somebody else. The only real nobility is in being superior to your former self.,Whitney Young
438,"Even if you're on the right track, you'll get run over if you just sit there.",Will Rogers
439,The trouble with being poor is that it takes up all of your time.,Willem de Kooning
440,The pessimist complains about the wind; the optimist expects it to change; the realist adjusts the sails.,William Arthur Ward
441,It is easier to forgive an enemy than to forgive a friend.,William Blake
442,It is impossible to defeat an ignorant man in argument.,William G. McAdoo
443,The future is here. It's just not widely distributed yet.,William Gibson
444,I feel like a fugitive from the law of averages.,William H. Mauldin
445,After one look at this planet any visitor from outer space would say I want to see the manager.,William S. Burroughs
446,"When two men in business always agree, one of them is unnecessary.",William Wrigley Jr.
447,"I respect faith, but doubt is what gets you an education.",Wilson Mizner
448,Success consists of going from failure to failure without loss of enthusiasm.,Winston Churchill
449,A fanatic is one who can't change his mind and won't change the subject.,Winston Churchill
450,I took a speed reading course and read 'War and Peace' in twenty minutes. It involves Russia.,Woody Allen
451,"If you're not failing every now and again, it's a sign you're not doing anything very innovative.",Woody Allen
452,"No one goes there nowadays, it's too crowded.",Yogi Berra
453,"Before enlightnment, chop wood, carry water. After enlightnment, chop wood, carry water.",Zen proverb
454,"People often say that motivation doesn't last. Well, neither does bathing - that's why we recommend it daily.",Zig Ziglar
455,"When I read about the evils of drinking, I gave up reading.",Henny Youngman
456,It's no wonder that truth is stranger than fiction. Fiction has to make sense.,Mark Twain
457,"When your friends begin to flatter you on how young you look, it's a sure sign you're getting old.",Mark Twain
458,Sometimes when reading Goethe I have the paralyzing suspision that he is trying to be funny.,Guy Davenport
459,Seriousness is the only refuge of the shallow.,Oscar Wilde
460,"Honest criticism is hard to take, particularly from a relative, a friend, an acquaintance, or a stranger.",Franklin P. Jones
461,A conclusion is the place where you got tired thinking.,Martin H. Fischer
462,Never believe anything until it has been officially denied.,Claud Cockburn
463,I've done the calculation and your chances of winning the lottery are identical whether you play or not.,Fran Lebowitz
464,"First we make our habits, then our habits make us.",Charles C. Noble
465,The true measure of a man is how he treats someone who can do him absolutely no good.,Samuel Johnson
466,"Until you've lost your reputation, you never realize what a burden it was.",Margaret Mitchell
467,A writer is someone for whom writing is more difficult than it is  for other people.,Thomas Manne
468,"I never apologize. I'm sorry, but that's just the way I am.",Homer Simpson
469,"The secret of life is honesty and fair dealing. If you can fake that, you've got it made.",Groucho Marx
470,"Never try and teach a pig to think ... It doesn't work, and will only upset the pig.",Unknown Author
471,"A genius! For 37 years I've practised fourteen hours a day, and now they call me a genius!",Pablo Sarasate (Spanish Violinist)
472,"If you have built castles in the air, your work need not be lost; that is where they should be.  Now put foundations under them.",Henry David Thoreau
473,The nice thing about standards is that there are so many of them to choose from.,Andrew S. Tanenbaum
474,"Who looks outside, dreams; who looks inside, awakes.",Carl Jung
475,My definition of an expert in any field is a person who knows enough about what's really going on to be scared.,P. J. Plauger
476,Eighty percent of success is showing up.,Woody Allen
477,'Someday' is the day after you die.,Steve Pavlina
478,I can't understand why a person will take a year to write a novel when he can easily buy one for a few dollars.,Fred Allen
479,Time flies like an arrow; fruit flies like a banana.,Groucho Marx
480,"You will not be punished for your anger, you will be punished by your anger.",Buddha
481,Who is wise? He who learns from all men.,Ben Zoma
482,"Dream is not the thing what you see in sleep, dream is the thing that does not let you sleep.",Adbul Kalam
483,"If people knew how hard I had to work to gain my mastery, it wouldn't seem so wonderful at all.",Michelangelo
484,"When I was young, I observed that nine out of ten things I did were failures. So I did ten times more work.",George Bernard Shaw
485,There are only two ways of telling the complete truth--anonymously and posthumously.,Thomas Sowell
486,"When a thing is funny, search it carefully for a hidden truth.",George Bernard Shaw
487,Don't worry about the world coming to an end today. It's already tomorrow in Australia.,Charles M. Schulz
488,Tomorrow is often the busiest day of the week.,Spanish Proverb
489,"When I'm working on a problem, I never think about beauty. I think only how to solve the problem. But when I have finished, if the solution is not beautiful, I know it is wrong.",R. Buckminster Fuller
490,"Life is based on perception,

Perception is based on opinion,

Opinion is based on thought,

Thought comes from the mind.

Change your mind , change your life.",Unknown Author
491,You can never get enough of what you don't really need.,Eric Hoffer
492,Time is that quality of nature which keeps events from happening all at once. Lately it doesn't seem to be working,Unknown Author
493,An incompetent attorney can delay a trial for months or years. A competent attorney can delay one even longer.,Evelle J. Younger
494,"I'd rather be hated for who I am, than loved for who I am not.",Kurt Cobain
495,Practice doesn't make perfect. Perfect practice makes perfect.,Vince Lombardi
496,Never judge a book by its movie.,J. W. Eagan
497,"The more things a man is ashamed of, the more respectable he is.",George Bernard Shaw
498,"I can picture in my mind a world without war, a world without hate. And I can picture us attacking that world, because they'd never expect it.",Jack Handey
499,"A man is but the product of his thoughts; what he thinks, he becomes.",Gandhi
500,Why does the Air Force need expensive new bombers? Have the people we've been bombing over the years been complaining?,George Wallace
501,"Before you go and criticize the younger generation, just remember who raised them.",Unknown Author
502,"It's not that I'm so smart, it's just that I stay with problems longer.",Albert Einstein
503,"I have been through some terrible things in my life, some of which actually happened.",Mark Twain
504,Time is the stuff life is made of.,Benjamin Franklin
505,Even a stopped clock is right twice a day. ,Marie von Ebner-Eschenbach 
506,Time you enjoy wasting is not wasted.,John Lennon
507,"I hope that while so many people are out smelling the flowers, someone is taking the time to plant some.",Herbert Rappaport
508,"When a stupid man is doing something he is ashamed of, he always declares that it is his duty.",George Bernard Shaw
509,Silence is so accurate.,Mark Rothko
510,Money doesn't change you; it reveals who you are when you no longer have to be nice.,Unknown Author
511,Quiet is the absence of sound. Silence is the presence of silence.,Robert Fripp
512,Love is the triumph of imagination over intelligence.,H. L. Mencken
513,"If you don't make mistakes, you're not working on hard enough problems. And that's a big mistake.",Frank Wilczek 
514,The reasonable man adapts himself to the world; the unreasonable one persists to adapt the world to himself. Therefore all progress depends on the unreasonable man.,George Bernard Shaw
515,It is amazing what you can accomplish if you do not care who gets the credit.,Harry Truman
516,I don't care what is written about me so long as it isn't true.,Dorothy Parker
517,"I don't know if God exists, but it would be better for His reputation if He didn't.",Jules Renard
518,The bad news is time flies. The good news is you're the pilot.,Michael Althsuler
519,The art of progress is to preserve order amid change and to preserve change amid order.,Alfred North Whitehead
520,You can tell whether a man is clever by his answers. You can tell whether a man is wise by his questions.,Naguib Mahfouz
521,The difference between death and taxes is death doesn't get worse every time Congress meets.,Will Rogers
